repository_full_name,Contributors,Stars,created_date,description,language,Commit,Size,archived,accessible
garyd203/flying-circus,2.0,6.0,2017-09-12T10:53:04Z,"A tool for describing AWS infrastructure as (Python) code, built on top of AWS Cloud Formation.",Python,494.0,1040.0,False,True
dhlab-epfl/dhSegment-torch,8.0,28.0,2019-12-10T09:27:52Z,dhSegment on pytorch,Python,572.0,17792.0,False,True
minerva-ml/open-solution-toxic-comments,6.0,151.0,2018-01-04T16:29:37Z,Open solution to the Toxic Comment Classification Challenge,Python,163.0,2628.0,True,True
ktonal/mimikit,2.0,7.0,2020-10-23T04:17:42Z,Music Modeling Kit,Python,420.0,23473.0,False,True
HUJI-Deep/FlowKet,2.0,37.0,2019-05-09T08:08:24Z,A framework based on Tensorflow for running variational Monte-Carlo simulations of quantum many-body systems.,Python,317.0,11024.0,False,True
phac-nml/neptune,3.0,17.0,2015-11-18T17:52:12Z,Neptune: Genomic Signature Discovery,Python,295.0,2717.0,False,True
phac-nml/neptune,3.0,17.0,2015-11-18T17:52:12Z,Neptune: Genomic Signature Discovery,Python,295.0,2717.0,False,True
geyang/ml_logger,5.0,167.0,2018-04-21T07:27:55Z,"A logger, server and visualization dashboard for ML projects",Python,696.0,26927.0,False,True
ContinualAI/avalanche,30.0,1267.0,2020-03-05T11:32:13Z,Avalanche: an End-to-End Library for Continual Learning based on PyTorch.,Python,3129.0,11607.0,False,True
neptune-ai/neptune-examples,6.0,25.0,2020-03-18T15:34:38Z,Examples of using Neptune to keep track of your experiments (maintenance only).,Jupyter Notebook,139.0,7775.0,True,True
tensorflow/profiler,21.0,300.0,2020-03-10T15:58:33Z,A profiling and performance analysis tool for TensorFlow,TypeScript,465.0,31901.0,False,True
tensorflow/profiler,21.0,300.0,2020-03-10T15:58:33Z,A profiling and performance analysis tool for TensorFlow,TypeScript,465.0,31901.0,False,True
liangruibupt/aws-is-how,2.0,33.0,2020-04-09T02:42:12Z,Know How Guide and Hands on Guide for AWS,Jupyter Notebook,602.0,353713.0,False,True
BBQuercus/deepBlink,4.0,23.0,2020-06-24T14:52:33Z,Threshold independent detection and localization of diffraction-limited spots.,Python,524.0,345466.0,False,True
BBQuercus/deepBlink,4.0,23.0,2020-06-24T14:52:33Z,Threshold independent detection and localization of diffraction-limited spots.,Python,524.0,345466.0,False,True
jamesdolezal/slideflow,5.0,96.0,2019-09-13T14:41:08Z,"Deep learning library for digital pathology, with both Tensorflow and PyTorch support.",Python,1841.0,104717.0,False,True
ludwig-ai/ludwig,30.0,8793.0,2018-12-27T23:58:12Z,Data-centric declarative deep learning framework,Python,3386.0,31529.0,False,True
ludwig-ai/ludwig,30.0,8793.0,2018-12-27T23:58:12Z,Data-centric declarative deep learning framework,Python,3386.0,31529.0,False,True
