repository_full_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc,archived,accessible,num_stars,num_forks,num_contributor,num_commit,Contributors,Stars,Commit,Size
farisknight13/DataMining,2.0,7.0,2021-03-11T16:19:57Z,Text preprocessing package for use in NLP tasks https://pypi.org/project/textcl/,Python,182.0,912.0,False,True,,,,,,,,
anjosma/mlflow_experiments,17.0,23.0,2022-02-10T08:56:27Z,Open-source metadata collector based on ODD Specification,Python,135.0,2023.0,False,True,,,,,,,,
15steps/ir_project,2.0,4.0,2021-11-02T21:02:06Z,This repo is for training machine learning models for the wave2web hackathon,Jupyter Notebook,135.0,24012.0,False,True,,,,,,,,
sanjivko/datasc,4.0,7.0,2020-01-14T15:01:52Z,Enchanter is a library for machine learning tasks for comet.ml users.,Python,286.0,2880.0,False,True,,,,,,,,
navigator8972/consensus_normflow,3.0,27.0,2021-07-30T12:21:17Z,,Python,344.0,974.0,False,True,,,,,,,,
mohsseha/DSI-BOS-students,3.0,3.0,2022-08-23T16:36:36Z,,Python,203.0,28686.0,False,True,,,,,,,,
souenxx/reccomend,4.0,8.0,2020-10-02T15:00:26Z,,Python,290.0,53020.0,False,True,,,,,,,,
Keesiu/meta-kaggle,2.0,2.0,2021-07-01T02:00:17Z,pytorch dreamer v2 implementation,Python,135.0,174.0,False,True,,,,,,,,
weilu/moneycat,11.0,44.0,2021-06-04T13:59:35Z,Increasing Renewable Energy Access in Philippines through AI,Jupyter Notebook,106.0,492254.0,False,True,,,,,,,,
tf-encrypted/tf-encrypted,25.0,1116.0,2018-03-21T18:22:13Z,A Framework for Encrypted Machine Learning in TensorFlow,Python,604.0,23475.0,False,True,,,,,,,,
tommaso-green/yeagerists-clef-touche-2021,4.0,2.0,2021-06-28T16:05:56Z,,C,109.0,3843.0,False,True,,,,,,,,
zensors/datatap-python,2.0,37.0,2020-12-01T15:58:39Z,"Focus on Algorithm Design, Not on Data Wrangling",Python,126.0,1203.0,False,True,,,,,,,,
neomatrix369/awesome-ai-ml-dl,28.0,1252.0,2018-12-23T19:55:49Z,"Awesome Artificial Intelligence, Machine Learning and Deep Learning as we learn it. Study notes and a curated list of awesome resources of such topics.",Jupyter Notebook,1306.0,80214.0,False,True,,,,,,,,
LucasLvbj/ML-Training-Keras,4.0,2.0,2020-02-12T19:56:53Z,End-to-end trainable mask generation,Python,176.0,210.0,False,True,,,,,,,,
Delaunay/MixedPrecision,4.0,34.0,2018-09-27T22:49:27Z,A toolbox for worst-case validation of autonomous policies,Python,253.0,82803.0,False,True,,,,,,,,
sirzzang/Lecture-Multicampus,4.0,4.0,2021-02-01T21:00:20Z,Enhancing Fairness of Visual Attribute Predictors,Python,106.0,21930.0,False,True,,,,,,,,
ShekharGaurav/MLFlow,2.0,18.0,2020-02-20T05:24:21Z,DefectNet: Towards Fast and Effective Defect Detection,Python,1062.0,30952.0,False,True,,,,,,,,
UW-COSMOS/Cosmos,2.0,262.0,2019-09-26T20:42:39Z,PyTorch Implementations For A Series Of Deep Learning-Based Recommendation Models,Python,1839.0,655968.0,False,True,,,,,,,,
merlinepedra/RAY-1,2.0,3.0,2022-12-16T00:23:05Z,Open source contributions for integrations with comet_ml,Python,13360.0,56.0,False,True,,,,,,,,
koustuvsinha/clutrr-baselines,4.0,6.0,2021-02-24T19:17:10Z,,Python,123.0,12403.0,False,True,,,,,,,,
aviresler/antique-gen,4.0,8.0,2021-10-26T23:38:36Z,Code repository accompanying the Heuristic Guided RL NeurIPS'21 paper,Python,123.0,1108896.0,False,True,,,,,,,,
skykying/ray-mirror,3.0,2.0,2021-12-19T21:09:45Z,Fall 2021 Biological Modeling and Simulation - Group Project,,5842.0,3455.0,False,True,,,,,,,,
ufal/neuralmonkey,4.0,41.0,2022-01-24T16:35:46Z,"Comet for Data Science, published by Packt",Jupyter Notebook,2831.0,30257.0,False,True,,,,,,,,
ray-project/ray,3.0,7.0,2022-05-11T03:39:52Z,,Python,16883.0,59.0,False,True,,,,,,,,
XingxingZhang/hf_datasets,3.0,2.0,2020-05-04T21:45:11Z,,Python,1723.0,1813.0,False,True,,,,,,,,
